year,uniquenest,birdID_male,prov_rate_male,prop_prov_male,birdID_female,prov_rate_female,prop_prov_female,Total_prov_rate,male_age,average_age_male,delta_age_male,female_age,average_age_female,delta_age_female,pairbond,bs,age_difference
2015,1,Rian,2.456140351,87.5,Celine,0.350877193,12.5,2.807017544,12,13.3,-1.3,15,15.5,-0.5,3,3,3
2015,2,August,1.684210526,80,Lulu,0.421052632,20,2.105263158,16,18,-2,16,18,-2,14,3,0
2015,3,SirDavid,0.615384615,71.42857143,Doro,0.246153846,28.57142857,0.861538462,21,22,-1,14,15,-1,1,1,7
2015,4,Igor,1.723076923,93.33333333,u1,0.123076923,6.666666667,1.846153846,16,16,0,NA,NA,NA,0,3,16
2015,5,Roy,1.534246575,90.32258065,Nell,0.164383562,9.677419355,1.698630137,14,16,-2,14,16,-2,2,2,0
2015,6,Hamlet,1.836734694,77.77777778,Rihanna,0.524781341,22.22222222,2.361516035,7,9,-2,7,9,-2,3,2,0
2015,7,u2,0.299003322,60,Marianne,0.199335548,40,0.49833887,NA,NA,NA,19,19,0,0,2,19
2015,8,Larry,0.664819945,66.66666667,u3,0.332409972,33.33333333,0.997229917,15,15,0,NA,NA,NA,0,2,15
2015,9,Hasso,0.146341463,100,Cathy,0,0,0.146341463,5,7,-2,4,6.7,-2.7,2,2,1
2015,10,Bjarne,0.669975186,69.23076923,u4,0.297766749,30.76923077,0.967741935,9,9,0,NA,NA,NA,0,3,9
2015,11,BigBoss,1.060070671,90.90909091,Sarina,0.106007067,9.090909091,1.166077739,7,8.3,-1.3,7,9,-2,1,2,0
2015,12,Blake,1.3,59.09090909,Jantje,0.9,40.90909091,2.2,6,8.3,-2.3,5,7,-2,2,2,1
2015,13,Nikolas,1.2,85.71428571,u5,0.2,14.28571429,1.4,5,6.5,-1.5,NA,NA,NA,0,2,5
2015,14,u6,0.1,16.66666667,Eleanor,0.5,83.33333333,0.6,NA,NA,NA,12,12.5,-0.5,0,3,12
2015,15,Graham,0.140186916,66.66666667,Hilde,0.070093458,33.33333333,0.210280374,14,14,0,15,15,0,1,2,1
2015,16,Jarvis,2.7,71.05263158,u7,1.1,28.94736842,3.8,5,7.3,-2.3,NA,NA,NA,1,3,5
2015,17,Pontus,0.083333333,50,Elmine,0.083333333,50,0.166666667,4,4,0,3,3,0,0,2,1
2015,18,London,1.375,100,Elfrun,0,0,1.375,5,6,-1,5,5,0,1,3,0
2015,19,Levi,0.2,33.33333333,Dorina,0.4,66.66666667,0.6,5,6.5,-1.5,5,6.5,-1.5,2,2,0
